#Seed Base SBR SBR-SZA
(0,0) 174.591716 202.4733728 202.4733728
(0,1) 174.6094675 202.4911243 202.4911243
(0,2) 174.739645 202.6035503 202.6035503
(0,3) 174.7751479 202.6390533 202.6390533
(0,4) 174.7573964 202.7692308 202.7692308
(0,5) 174.7928994 202.8047337 202.8047337
(0,6) 174.7751479 203.3786982 203.3786982
(0,7) 174.8047337 199.3905325 199.9112426
(0,8) 174.8047337 200.0059172 200.0059172
(0,9) 174.8047337 198.6153846 196.2071006
(0,10) 174.8047337 196.1893491 196.1893491
(0,11) 174.8047337 196.0414201 196.0414201
(0,12) 174.591716 199.8994083 199.8994083
(1,0) 174.6094675 202.4911243 202.4911243
(1,1) 174.7928994 202.6745562 202.6745562
(1,2) 174.7928994 202.0650888 202.0650888
(1,3) 175.0650888 202.3372781 202.3372781
(1,4) 174.9171598 200.7869822 200.7869822
(1,5) 175.1893491 201.0591716 201.0591716
(1,6) 175.0414201 200.7869822 200.7869822
(1,7) 174.9704142 201.2662722 201.2662722
(1,8) 174.8047337 202.4142012 199.4319527
(1,9) 174.9704142 199.5798817 199.5798817
(1,10) 174.8047337 196.1893491 196.1893491
(1,11) 174.9704142 198.3017751 200.0295858
(1,12) 174.6094675 199.9171598 199.9171598
(2,0) 174.6272189 202.5088757 202.5088757
(2,1) 174.8106509 202.9704142 201.1242604
(2,2) 174.8106509 200.8284024 200.8284024
(2,3) 175.0887574 201.0887574 201.0887574
(2,4) 175.0710059 200.295858 200.112426
(2,5) 175.0532544 200.3905325 201.1538462
(2,6) 175.035503 201.1538462 201.1538462
(2,7) 174.9704142 201.9704142 201.9704142
(2,8) 174.8047337 200.1538462 199.5976331
(2,9) 174.9704142 199.8757396 199.8757396
(2,10) 174.8047337 196.2071006 196.2071006
(2,11) 174.9704142 198.0769231 199.8047337
(2,12) 174.6272189 199.9526627 199.9526627
(3,0) 174.6449704 201.8994083 201.8994083
(3,1) 174.8284024 201.5088757 201.0118343
(3,2) 174.8284024 200.2544379 200.7928994
(3,3) 175.1065089 200.6449704 200.6449704
(3,4) 175.0887574 202.2189349 202.2189349
(3,5) 175.0710059 200.8343195 200.8343195
(3,6) 175.0532544 200.2840237 200.2840237
(3,7) 174.9704142 200.3372781 200.4497041
(3,8) 174.8047337 200.4852071 199.8579882
(3,9) 174.9704142 200.0236686 200.0236686
(3,10) 174.8047337 196.6508876 196.6508876
(3,11) 174.9704142 198.3727811 200.1005917
(3,12) 174.6449704 200.1005917 200.1005917
(4,0) 174.6627219 201.5266272 201.5266272
(4,1) 174.8461538 201.6745562 201.6745562
(4,2) 174.8461538 202.1360947 201.2366864
(4,3) 175.1242604 201.5502959 201.5502959
(4,4) 175.1065089 201.6449704 202.0710059
(4,5) 175.0887574 202.0177515 202.0177515
(4,6) 175.0710059 201.1893491 201.1893491
(4,7) 174.9704142 201.4260355 201.4260355
(4,8) 174.8047337 199.6153846 199.9112426
(4,9) 174.9704142 200.3550296 200.3550296
(4,10) 174.8047337 196.1715976 196.1715976
(4,11) 174.9704142 198.5207101 200.2485207
(4,12) 174.6627219 199.8224852 199.8224852
(5,0) 174.6804734 201.5443787 201.5443787
(5,1) 174.8639053 201.7278107 201.7278107
(5,2) 174.8639053 201.2485207 201.2485207
(5,3) 175.1420118 201.4556213 201.4556213
(5,4) 175.1242604 201.3254438 202.0295858
(5,5) 175.1065089 201.8994083 202.1952663
(5,6) 175.0887574 201.7751479 201.9408284
(5,7) 174.9704142 199.964497 199.964497
(5,8) 174.8047337 199.9289941 200.591716
(5,9) 174.9704142 199.9822485 196.3964497
(5,10) 174.8047337 196.0828402 200.0473373
(5,11) 174.9704142 198.3017751 200.0295858
(5,12) 174.6804734 199.9526627 199.9526627
(6,0) 174.6982249 201.5621302 201.5621302
(6,1) 174.8816568 201.7455621 201.7455621
(6,2) 174.8816568 201.6923077 201.6923077
(6,3) 175.1597633 202.6331361 201.408284
(6,4) 175.1420118 201.7455621 201.3905325
(6,5) 175.1242604 201.5443787 201.0591716
(6,6) 175.1065089 201.0532544 200.9171598
(6,7) 174.9704142 199.4674556 199.4674556
(6,8) 174.8047337 199.1538462 199.1538462
(6,9) 174.9704142 198.2662722 196.2485207
(6,10) 174.8047337 196.1005917 196.1005917
(6,11) 174.9704142 198.4142012 198.4142012
(6,12) 174.6982249 199.6745562 199.6745562
(7,0) 174.6449704 199.2899408 199.2899408
(7,1) 174.6627219 199.3076923 199.3076923
(7,2) 174.9585799 198.9763314 198.9763314
(7,3) 175.0887574 198.3136095 198.9112426
(7,4) 175.0710059 200.112426 199.0946746
(7,5) 175.0532544 200.7100592 199.5621302
(7,6) 175.035503 200.7514793 200.7514793
(7,7) 174.8047337 201.9112426 201.9112426
(7,8) 174.9704142 200.3313609 202.1893491
(7,9) 174.8047337 202.0414201 202.0414201
(7,10) 174.9704142 201.2189349 201.2189349
(7,11) 174.8047337 203.7573964 203.9349112
(7,12) 174.6449704 204.6331361 204.6331361
(8,0) 174.6272189 199.1420118 199.1420118
(8,1) 174.6449704 199.3076923 199.3076923
(8,2) 174.9408284 198.6627219 198.6627219
(8,3) 175.0710059 199.2189349 201.7988166
(8,4) 175.0532544 200.408284 200.6153846
(8,5) 175.035503 200.5976331 200.5976331
(8,6) 175.0177515 203.5266272 203.5266272
(8,7) 174.8047337 202.8224852 202.8224852
(8,8) 174.9704142 200.556213 201.8934911
(8,9) 174.8047337 201.5266272 201.5266272
(8,10) 174.9704142 201.4023669 203.5443787
(8,11) 174.8047337 203.4792899 203.6568047
