(0,0) 13.28529992 14.0141328 14.0141328
(0,1) 13.28529992 14.0141328 14.0141328
(0,2) 13.29689095 14.05021685 14.05021685
(0,3) 13.29689095 14.05021685 14.05021685
(0,4) 13.31594646 14.06955473 14.06955473
(0,5) 13.31594646 14.06955473 14.06955473
(0,6) 13.33443724 14.09011886 14.09011886
(0,7) 13.28529992 14.09767612 14.15322914
(0,8) 13.28529992 14.22035907 14.22035907
(0,9) 13.28529992 14.10685697 14.13093855
(0,10) 13.28529992 14.13093855 14.13093855
(0,11) 13.28529992 14.13093855 14.13093855
(0,12) 13.28529992 14.19687449 14.19687449
(1,0) 13.28529992 14.0141328 14.0141328
(1,1) 13.28529992 14.0141328 14.0141328
(1,2) 13.29142318 14.07275552 14.07275552
(1,3) 13.29142318 14.07275552 14.07275552
(1,4) 13.29712693 14.0758595 14.0758595
(1,5) 13.29712693 14.0758595 14.0758595
(1,6) 13.29764526 14.0746413 14.0746413
(1,7) 13.28529992 14.09753091 14.09753091
(1,8) 13.28529992 14.22729715 14.10685697
(1,9) 13.28529992 14.10685697 14.10685697
(1,10) 13.28529992 14.13093855 14.13093855
(1,11) 13.28529992 14.16424939 14.20638207
(1,12) 13.28529992 14.19687449 14.19687449
(2,0) 13.28529992 14.0141328 14.0141328
(2,1) 13.28529992 14.0141328 13.96592124
(2,2) 13.28529992 13.96592124 13.96592124
(2,3) 13.30315942 13.98378073 13.98378073
(2,4) 13.37006346 14.31834529 14.32435963
(2,5) 13.3760778 14.32435963 14.39033187
(2,6) 13.44329042 14.39033187 14.39033187
(2,7) 13.28529992 14.1083414 14.1083414
(2,8) 13.28529992 14.24043109 14.10685697
(2,9) 13.28529992 14.10685697 14.10685697
(2,10) 13.28529992 14.13093855 14.13093855
(2,11) 13.28529992 14.16424939 14.20638207
(2,12) 13.28529992 14.19687449 14.19687449
(3,0) 13.28529992 14.0141328 14.0141328
(3,1) 13.28529992 14.0141328 14.04370635
(3,2) 13.30271974 13.99549479 14.01299528
(3,3) 13.32022023 14.01299528 14.01299528
(3,4) 13.38659786 14.37651421 14.37651421
(3,5) 13.39851159 14.35703919 14.35703919
(3,6) 13.39920338 14.35701902 14.35701902
(3,7) 13.28529992 14.1083414 14.26876829
(3,8) 13.28529992 14.24695772 14.10685697
(3,9) 13.28529992 14.10685697 14.10685697
(3,10) 13.28529992 14.13093855 14.13093855
(3,11) 13.28529992 14.16424939 14.20638207
(3,12) 13.28529992 14.19687449 14.19687449
(4,0) 13.28529992 14.0141328 14.0141328
(4,1) 13.28529992 14.0141328 14.0141328
(4,2) 13.30777002 14.05517838 14.110683
(4,3) 13.31981484 14.110683 14.110683
(4,4) 13.39506676 14.18752825 14.18752825
(4,5) 13.39506676 14.18752825 14.18752825
(4,6) 13.53778542 14.32963378 14.32963378
