"SBR vs Base-NoC" 0.1557 4.1469 0.032 0.0799 0.1078 0.6027 0.6027
"SBR-SZA vs Base-NoC" 0.1542 3.9637 0.0361 0.0818 0.1085 0.5809 0.5809
